image name|class|new class
DG001||dg nen xam nam ngang
DG002||dg nen xam nam ngang
DG003||dg nen xam nam ngang
DG004||dg nen xam nam ngang
DG005||dg nen xam nam ngang
DG007||dg nen xam nam ngang
DG006||dg nen xam dung
DG008||dg nen xam dung
DG009||dg nen xam dung
DG010||dg nen xam dung
DG011||dg nen xam dung
DG012||dg nen xam dung
DG013||dg nen xam dung
DG014||dg nen xam dung
DG015||dg nen xam dung
DG016||dg nen xam dung
DG017||dg nen xam dung
DG018||dg nen xam dung
DG019||dg nen xam dung
DG020||dg nen xam dung
DG021||dg nen xam dung
DG022||dg nen xam dung
DG023||dg nen xam dung
DG024||dg nen xam dung
DG025||dg nen xam dung
DG026||dg nen xam dung
DG027||dg nen xam nam ngang
DG028||dg nen xam nam ngang
DG029||dg nen xam nam ngang
DG030||dg nen xam nam ngang
DG031||dg nen xam nam ngang
DG032||dg nen xam nam ngang
DG033||dg nen xam nam ngang
DG034||dg nen xam nam ngang
DG035||dg nen xam nam ngang
DG036||dg nen xam nam ngang
DG037||dg nen xam nam ngang
DG038||dg nen xam nam ngang
DG039||dg nen xam nam ngang
DG040||dg nen vang dung
DG041||dg nen vang dung
DG042||dg nen vang dung
DG043||dg nen vang dung
DG050||dg nen vang dung
DG044||dg nen vang dung
DG045||dg nen vang dung
DG046||dg nen vang dung
DG047||dg nen vang dung
DG048||dg nen vang dung
DG049||dg nen vang dung
DG051||dg nen vang dung
DG052||dg nen vang dung
DG053||dg nen vang nam
DG054||dg nen vang nam
DG055||dg nen vang nam
DG056||dg nen vang nam
DG057||dg nen vang nam
DG058||dg nen vang nam
DG059||dg nen vang nam
DG060||dg nen vang nam
DG061||dg nen vang nam
DG062||dg nen vang nam
DG063||dg nen vang dung
DG064||dg nen vang nam
DG065||dg nen vang dung
DG066||dg nen vang dung
DG067||dg nen vang dung
DG068||dg nen vang dung
DG069||dg nen vang dung
DG070||dg nen vang dung
DG071||dg nen vang dung
DG072||dg nen vang dung
DG073||dg nen vang dung
DG074||dg nen vang dung
DG075||dg nen sang dung
DG076||dg nen sang dung
DG078||dg nen sang dung
DG077||dg nen sang toi nam
DG079||dg nen sang toi nam
DG080||dg nen sang toi nam
DG081||dg nen sang toi nam
DG082||dg nen sang toi nam
DG083||dg nen sang toi nam
DG084||dg nen sang toi nam
DG085||dg nen sang toi nam
DG086||dg nen sang toi nam
DG087||dg dau vang men dung
DG088||dg dau vang men dung
DG089||dg dau vang men dung
DG090||dg dau vang men dung
DG091||dg dau vang men dung
DG092||dg dau vang men dung
DG093||dg dau vang men dung
DG094||dg dau vang men dung
DG095||dg dau vang men dung
DG096||dg dau vang men dung
DG097||dg dau vang men dung
DG098||dg dau vang men dung
DG099||dg dau vang men dung
DG100||dg dau vang men dung
DG101||dg dau vang men dung
DG102||dg dau vang men dung
DG103||dg dau vang men dung
DG104||dg dau vang men dung
DG105||dg dau vang men dung
DG106||dg dau vang men dung
DG107||dg dau vang men dung
DG108||dg dau vang men dung
DG109||dg dau vang men dung
DG110||dg dau vang men dung
DG111||dg dau vang men dung
DG112||dg dau vang men dung
DG113||dg dau vang men dung
DG114||dg dau vang men dung
DG115||dg dau vang men dung
DG116||dg dau vang men dung
DG117||dg nen xam nam ngang
DG118||dg nen xam nam ngang
DG119||dg nen xam nam ngang
DG120||dg nen xam dung
DG121||dg dau vang men dung
DG122||dg dau vang men dung
DG123||dg dau vang men dung
DG124||dg dau vang men dung
DG125||dg dau vang men dung
DG126||dg nen xam nam ngang
DG127||dg nen xam nam ngang
DG128||dg nen xam nam ngang
DG129||dg nen xam nam ngang
DG130||dg dai nen xam
DG131||dg nen xam nam ngang
DG132||dg dai nen xam
DG133||dg dai nen xam
DG134||dg dai nen xam
DG135||dg dai nen xam
DG136||dg dai nen xam
DG138||dg dai nen xam
DG139||dg dai nen xam
DG140||dg dai nen xam
DG137||dg nen xam nam ngang
DG141||dg nen xam nam ngang
DG142||dg nen xam nam ngang
DG143||dg dai nen xam
DG144||dg dai nen xam
DG145||dg dai nen xam
DG146||dg nen xam nam ngang
DG147||dg dai nen xam
DG148||dg dai nen xanh
DG149||dg dai nen xanh
DG150||dg dai nen xanh
DG151||dg dai nen xanh
DG152||dg dai nen xanh
DG153||dg dai nen xanh
DG154||dg dai nen xanh
DG155||dg dai nen xanh
DG156||dg dai nen xanh
DG157||dg dai nen xanh
DG158||dg dai nen xanh
DG159||dg dai nen xanh
DG160||dg dai nen xanh
DG161||dg dai nen xanh
DG162||dg dai nen xanh
DG163||dg dai nen xanh
DG164||dg dai nen xanh
DG165||dg dai nen xanh
DG166||dg dai nen xanh
DG167||dg dai nen xanh
DG168||dg dai nen xanh
DG169||dg nen xanh dung
DG170||dg nen xanh dung
DG171||dg nen xanh dung
DG172||dg nen xanh dung
DG173||dg nen xanh dung
DG174||dg nen xanh dung
DG175||dg nen xanh dung
DG176||dg nen xanh dung
DG177||dg nen xanh dung
DG178||dg nen xanh dung
DG179||dg nam nen trang
DG180||dg nam nen trang
DG181||dg nam nen trang
DG182||dg nam nen trang
DG183||dg nam nen trang
DG184||dg nam nen trang
DG185||dg nam nen trang
DG186||dg dung nen trang
DG188||dg dung nen trang
DG187||dg dung nen trang
DG189||dg dung nen trang
DG190||dg dung nen trang
DG191||dg dung nen trang
DG192||dg dung nen trang
DG193||dg dung nen trang
DG194||dg dung nen trang
DG195||dg dung nen trang
DG196||dg dung nen trang
DG197||dg dung nen trang
DG198||dg dung nen vang
DG199||dg dung nen vang
DG200||dg dung nen vang
DG202||dg dung nen vang
DG201||dg dung nen trang
DG203||dg dung nen vang
DG204||dg dung nen vang
DG205||dg dung nen vang
DG206||dg dung tren ghe
DG207||dg dung tren ghe
DG208||dg dung tren ghe
DG209||dg dung tren ghe
DG210||dg dung tren ghe
DG211||dg dung tren ghe
DG212||dg dung tren ghe
DG213||dg dung tren ghe
DG214||dg dung tren ghe
